,train_rmse,test_rmse,train_mae,test_mae,train_r2,test_r2,train_mape,test_mape,cv_rmse,cv_std,y_test_pred,y_train_pred
Random Forest,607.1120868259964,1637.1484404181729,466.64518835616434,1204.7284075342466,0.9786387642680864,0.8392475352095717,4.639555331537576,11.332224300678098,1599.3738758950826,137.93648605693002,"[11128.39    7042.39    8455.25   10840.31   16121.4475  8809.97
 17823.975   9578.9     8214.26   10887.41   11770.09   11011.85
  7164.13   20928.3775  5100.26    9342.61   16895.8275  7296.48
 13899.35    9182.04    8704.2     9736.8     8832.66    8443.98
 12937.09    9567.95    6476.94    8377.93    9215.36   18964.0075
 13664.95   17729.5725  8077.58    8549.94    9899.35    9409.67
  8877.81    7279.79    8715.45   16286.55    5269.26   10724.63
  7833.28   15968.3375 14894.2675  4557.08    9779.42    8047.63
 11739.38   10438.62   10321.55    6797.06   14884.75    8136.54
  7709.82   14321.19   10890.73   18650.16    3597.81   19318.665
 13102.46   11088.32    8941.45    4806.3     7808.13   20051.575
  4782.99    7993.35    6265.     10540.09   11267.24    8911.44
 12675.64   13748.42    9914.73    8205.77    8608.58    7822.98
  6225.98    4375.55    8003.05    6325.48    5458.32    8800.09
  6441.22   13645.13    8054.7    12400.98    8564.43   15737.7275
 11561.55    8345.7    16048.57   14232.47   16853.3625 10929.63
  8343.95    9231.87   13099.33   15086.48    9073.67   14569.55
 14200.41   13248.73   10107.39   12495.67    7542.36    7794.49
  8983.05    8639.06    7942.02   11370.58   16977.315   8243.97
  7487.81   14368.58    6362.22    9141.59   17865.2725  7867.86
 11553.48   21177.0475 11651.86   14305.3775  8743.17   11160.46
  7609.88   20926.74   11201.68   13525.09   11317.78   11748.25
 10941.81   10865.86   12499.01   14693.8675  9017.44   11761.95
  8345.21    9942.69   20843.0575 19039.41   10350.52   10929.72
  6283.2     8453.2    11703.95    4702.55   19236.4875  7059.46
 15643.9175  8970.11   11540.88   17147.1075  7805.92   10675.1
 14285.03    8755.64   10834.63    5559.24    6711.1     8126.62
  8860.27    8141.07   16817.3475 12328.65    8374.4     8444.33
  8241.83   16801.7    16302.82   10173.72   13406.31   13536.76
  8673.45   10719.87   20968.4375  8879.97   10792.98   15879.8575
 13358.46   14374.12   20872.9675  7902.94    7980.09   13094.26
  9417.27   15404.0075 12116.06    9941.39    9623.49   13850.11
 20793.835  14182.7675  8128.81   12610.45   14375.29    7434.1
 11871.8     9553.18    8780.32   10701.38   15006.845   5631.84
 14716.94   15614.2975  3115.06    8299.38    7774.45    8983.43
  8972.23    8774.02   16371.285   5235.75    9204.45   14203.33
 13926.73   16379.905  12962.9675  7892.43   11247.15   11677.71
 14692.51    8938.05   10698.48    7445.96   11266.02    8023.93
  8436.25    8235.57    8353.89    8178.18   12209.94   17443.795
 17690.775   7568.29   14943.56   12218.94   11403.14   14575.0575
  5214.74    7958.67   12414.93    4140.21    8843.89    9463.43
  5708.62    7709.42    7550.68   11399.95    8046.01    9151.28
  7681.76   14732.7675 10355.77   15054.5425 16848.14   11165.14
  6345.83    7672.52    4549.1    15854.15   12305.68    8028.97
 19022.0925 10999.37    9756.69    8262.7     3889.01   11341.67
  9282.84    7246.05   13205.42   11485.59   14150.84    8007.32
 14472.38   12929.36   16241.6475  7711.19   10005.91   13568.54
  8010.65    8694.03   11815.59   11589.88    8874.67   12035.78
  8943.74    9657.84   14184.02   14153.37  ]",[ 8550.41  5728.14 15984.24 ... 13358.8   7830.62  7194.52]
Decision Tree,678.429841269206,2059.808677067716,410.2418686233074,1465.1437986422097,0.9733253641594143,0.7455307617376088,4.328242620442806,13.811349017704142,2073.17486322236,86.50347512120373,"[12032.          7334.8         8445.33333333 10113.
 16967.          8227.13333333 17154.         10534.45454545
  9001.         10415.79166667 13501.33333333  9251.5
  8361.6        20960.27272727  5173.4         9582.
 17493.71428571  7334.8        11304.          8748.50909091
  6851.         10534.45454545 10264.          6939.
 14985.4        10264.          6940.66666667  8203.16666667
  8748.50909091 19009.         13173.         19940.625
  8203.16666667  8748.50909091  7980.          9704.85714286
  8750.5         7334.8         9838.         16268.5
  3677.          6529.          7772.4047619  14074.
 14378.          4936.4         7575.          8282.
 12164.         10415.79166667  7340.          6940.66666667
 14107.61111111  8648.25        8873.         13597.85714286
  9040.         20917.68181818  3541.         20917.68181818
 14928.          8912.33333333  8748.50909091  4806.4
  7334.8        21085.1875      4351.          7334.8
  6457.         11558.         10415.79166667 11360.
 13039.         13597.85714286  8128.          8203.16666667
 10453.          7772.4047619   5736.          2829.
  6436.          5658.33333333  5217.5         8748.50909091
  6940.66666667 13227.          9001.         11585.5
  8126.         16967.         12509.          7780.66666667
 16268.5        14673.33333333 18845.         11617.
  8748.50909091  8203.16666667 12045.6        17907.
  8859.72222222 14248.61538462 14107.61111111 14928.
 10534.45454545 11850.26923077  7334.8         7334.8
  8748.50909091  8156.57142857  7334.8        12565.
 19940.625       8506.          7772.4047619  14673.33333333
  6940.66666667  8359.         15514.5         7334.8
 11628.         20960.27272727 10342.         14673.33333333
  8748.50909091  9584.          7772.4047619  21179.52941176
 10955.         12045.6         8341.         14985.4
 10955.          7340.         10647.75       16619.5
  8748.50909091  9890.          8298.          9704.85714286
 21179.52941176 20917.68181818  8626.         11999.
  6940.66666667  8227.13333333 10767.          4560.
 19940.625       7334.8        12929.5        10253.
 11524.         13687.          7334.8         9787.
 16011.66666667 10264.         10415.79166667  6693.
  6940.66666667  9001.          8748.50909091  8361.6
 14074.         12514.5         8227.13333333  8227.13333333
  8859.72222222  8816.         14544.2        10415.79166667
 14248.61538462 16137.          8748.50909091 11999.
 21179.52941176  8748.50909091  9024.         16268.5
 12913.         14107.61111111 21179.52941176  7772.4047619
  7597.33333333 13039.          8164.         14544.2
 11850.26923077  9588.         11155.5        12929.5
 21179.52941176 14250.5         8361.6        14713.
 13597.85714286  7334.8         9890.         10534.45454545
  8203.16666667 10415.79166667 15636.85714286  5217.5
 16137.         16011.66666667  2381.          8298.
  7334.8         9854.75        8859.72222222  8748.50909091
 14712.33333333  5707.5         9854.75       12618.
 13173.         20917.68181818 14250.5         8859.72222222
 13051.         11585.5        16137.          8203.16666667
 11850.26923077  7334.8        12536.          7772.4047619
  8298.          7772.4047619   8298.          6851.
 11850.26923077 13687.         14074.          8203.16666667
 17006.83333333 14467.          9024.         14248.61538462
  4710.          8648.25       12293.          3541.
  8748.50909091  9377.          4710.          9001.
  7772.4047619  12399.          9001.          9854.75
  8647.         15636.85714286 11155.5        16619.5
 18845.          8912.33333333  5777.66666667  7334.8
  4936.4        14544.2        10705.          9651.
 19844.5         9972.          9438.69230769 10453.
  2381.          9379.          8748.50909091  7334.8
 12293.         10745.5        14107.61111111  8203.16666667
 14467.         11585.5         8816.          7780.66666667
  9377.         14467.         10453.          8859.72222222
 10110.33333333 10371.          9691.5         9040.
  8859.72222222 12035.         12362.         13201.        ]","[ 8227.13333333  6019.         17006.83333333 ... 12618.
  7780.66666667  7334.8       ]"
XGBoost,129.93289856708847,1755.788307023617,93.10902906443975,1297.9577327362479,0.9990215765159777,0.8151047185535388,0.9964822017897281,12.413298738937085,1680.3765513393992,117.97235859835718,"[11001.527   6913.3867  9354.19    9554.209  16847.707   9198.973
 14739.467  10805.094   8368.912  10659.667  12390.411  11014.872
  7447.122  20792.844   4945.233   8870.159  16934.393   7526.3677
 14934.646   9570.371   8632.25    8987.363   8971.302   7733.475
 12937.333   9610.8955  6383.0127  9231.559   8911.443  19538.05
 14984.505  16750.363   8329.155   8416.167   7289.8423  9334.876
  8488.036   7135.794   9428.171  17141.441   4861.5474  8955.904
  7596.8125 15228.761  15319.894   4518.6714  9228.009   7570.143
 10135.487  10044.43    9246.955   6106.4424 15128.855   8732.304
  8000.4155 14448.351  10139.562  17461.236   3870.2988 19633.281
 12699.305   9712.414   9222.87    5124.261   7659.3423 20916.906
  4868.9307  7282.2856  6039.8315  9666.006  11592.197   8179.957
 11461.635  13083.708   8597.981   8293.854   7596.7974  7624.0713
  6013.297   3823.0078  7208.0713  7836.196   5916.8354  9051.892
  6163.4995 14594.018   7221.9346 13156.481   9161.2295 15718.131
 11399.704   8607.955  15591.253  13465.23   16899.64   10470.493
  9145.187   9905.658  12597.123  15498.427   8547.169  12834.302
 14761.509  13019.     10898.266  13443.279   8056.9995  7707.186
  8300.354   8706.593   7369.9385 12044.355  17503.275   7600.723
  7689.09   15950.075   6628.9966  8665.792  18497.021   8321.891
 10993.598  21219.842  10103.17   14998.92    8458.346  10659.679
  7659.8457 20457.19   11071.966  13921.297  11322.1    12307.984
 11473.496   9236.416  12803.723  14568.724  10401.616  10488.393
  8345.493  11111.399  20928.955  18588.885  10830.356  12254.6045
  5698.6113  8166.1567 12013.31    4925.0586 19381.906   6052.844
 15995.454   8801.597  12524.98   16389.693   7905.5356 10055.8545
 13913.241   8630.55   10211.338   5673.2993  7187.8423  8509.247
  8292.202   7818.4917 13676.025  12463.918   7927.3525  8283.343
  8361.797  16617.098  17425.947   9962.401  13146.793  13330.297
  8431.353  11075.34   21407.518   8778.595  10516.771  15320.2
 12640.705  14497.484  21166.672   7500.746   8056.629  12341.915
  9748.6045 15341.842  12284.537   9536.09    9092.013  13641.282
 20640.8    15525.178   7598.231  11379.79   14297.481   6845.3
 12649.331  10057.487   8466.005   9505.704  15761.651   6348.319
 15355.859  16087.84    3590.0176  8257.428   8603.304   8307.121
  9054.091   8182.899  15094.46    5349.0513  9194.945  14023.092
 13777.66   17753.25   14053.658   6423.7095 11127.786  11334.85
 15438.072   8577.845  10543.651   7363.127   9640.343   8031.4404
  9328.022   7921.1206  8372.87    8392.74   13195.917  15637.332
 17217.104   7858.3555 15629.501  12227.368  11043.017  15182.118
  5697.0986  7646.2305 12469.004   3820.7883  9086.919  10097.362
  5365.8022  7547.768   7286.2627 10876.52    8134.153   9426.355
  7829.653  14991.625  11682.896  14338.995  17913.482   8596.955
  7690.6343  8194.691   4262.7544 16581.566  12304.516   8436.494
 20601.123  10819.917  10522.902   8082.808   5395.188  10834.903
  9511.766   6818.394  13217.265  12448.28   13285.827   7600.885
 13204.088  13216.468  15085.597   7266.6943  9335.723  12384.126
  8171.549   9466.07   10291.378  11721.834   8884.559  10672.774
  8027.397   9879.885  15044.326  15107.807 ]",[ 8423.489   5846.953  16954.998  ... 12759.603   7530.5127  7425.0366]
